Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
dantomi01,Mike D'Antoni,1974,1977,G,6-3,185,"May 8, 1951","Marshall University"
dabicmi01,Mike Dabich,1968,1968,C,7-0,242,"December 27, 1942","New Mexico State University"
dahleed01,Ed Dahler,1952,1952,F,6-5,190,"January 31, 1926","Duquesne University"
dailequ01,Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961","University of San Francisco"
dalemsa01,Samuel Dalembert,2002,2014,C,6-11,250,"May 10, 1981","Seton Hall University"
dallmho01,Howie Dallmar,1947,1949,F,6-4,200,"May 24, 1922","Stanford University"
dampier01,Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975","Mississippi State University"
dampilo01,Louie Dampier,1968,1979,G,6-0,170,"November 20, 1944","University of Kentucky"
dandrbo01,Bob Dandridge,1970,1982,F-G,6-6,195,"November 15, 1947","Norfolk State University"
daniean01,Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975","Bowling Green State University"
danieer01,Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982","University of Kentucky"
daniell01,Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967","Mount San Antonio College"
daniema01,Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981","Auburn University"
danieme01,Mel Daniels,1968,1977,C,6-9,220,"July 20, 1944","University of New Mexico"
danilsa01,Sasha Danilovic,1996,1997,G,6-5,200,"February 26, 1970",""
dantlad01,Adrian Dantley,1977,1991,F-G,6-5,208,"February 28, 1956","University of Notre Dame"
darcepe01,Pete Darcey,1953,1953,C,6-7,217,"March 3, 1930","Oklahoma State University"
dardeji01,Jimmy Darden,1950,1950,G,6-1,170,"June 19, 1922","University of Denver"
dardeol01,Ollie Darden,1968,1970,F-C,6-7,235,"July 28, 1944","University of Michigan"
dareyi01,Yinka Dare,1995,1998,C,7-0,265,"October 10, 1972","George Washington University"
darkje01,Jesse Dark,1975,1975,G,6-5,210,"September 2, 1951","Virginia Commonwealth University"
darneri01,Rick Darnell,1976,1976,C-F,6-10,215,"January 1, 1953","San Jose State University"
darroji01,Jimmy Darrow,1962,1962,G,5-10,170,"September 25, 1937","Bowling Green State University"
datomlu01,Luigi Datome,2014,2014,F,6-8,215,"November 27, 1987",""
daughbr01,Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965","University of North Carolina"
daughma01,Mack Daughtry,1971,1971,G,6-3,175,"","Albany State University"
davidko01,Kornel David,1999,2001,F,6-9,235,"October 22, 1971",""
davidje01,Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984","University of Alabama"
daviebo01,Bob Davies,1949,1955,G-F,6-1,175,"January 15, 1920","Seton Hall University"
daviebr01,Brandon Davies,2014,2014,F,6-10,240,"July 25, 1991",""
davisan02,Anthony Davis,2013,2014,F-C,6-10,220,"March 11, 1993","University of Kentucky"
davisan01,Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968","University of Texas at El Paso"
davisau01,Aubrey Davis,1947,1947,G-F,6-2,175,"March 28, 1921","Oklahoma Baptist University"
davisba01,Baron Davis,2000,2012,G,6-3,209,"April 13, 1979","University of California, Los Angeles"
davisbe01,Ben Davis,1997,2000,F,6-9,240,"December 26, 1972","University of Arizona"
davisbi01,Bill Davis,1947,1947,F,6-3,215,"October 3, 1921","University of Notre Dame"
davisbo01,Bob Davis,1973,1973,F,6-7,215,"April 2, 1950","Weber State University"
davisbr01,Brad Davis,1978,1992,G,6-3,180,"December 17, 1955","University of Maryland"
davisbr02,Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970","Duke University"
davisch02,Charles Davis,1982,1990,F,6-7,215,"October 5, 1958","Vanderbilt University"
davisch01,Charlie Davis,1972,1974,G,6-2,160,"September 7, 1949","Wake Forest University"
davisda01,Dale Davis,1992,2007,F,6-11,230,"March 25, 1969","Clemson University"
davisdw01,Dwight Davis,1973,1977,F,6-8,220,"October 28, 1949","University of Houston"
davised01,Ed Davis,2011,2014,F,6-10,225,"June 5, 1989","University of North Carolina"
davisem01,Emanual Davis,1997,2003,G,6-4,195,"August 27, 1968","Delaware State University"
davisgl01,Glen Davis,2008,2014,F,6-9,289,"January 1, 1986","Louisiana State University"
davisha01,Harry Davis,1979,1980,F,6-7,220,"January 27, 1956","Florida State University"
davishu01,Hubert Davis,1993,2004,G,6-5,183,"May 17, 1970","University of North Carolina"
davisji01,Jim Davis,1968,1975,C-F,6-9,225,"December 18, 1941","University of Colorado"
davisjo01,Johnny Davis,1977,1986,G,6-2,170,"October 21, 1955","University of Dayton"
davisjo02,Josh Davis,2004,2012,F,6-8,235,"August 10, 1980","University of Wyoming"
davisle01,Lee Davis,1969,1976,C-F,6-8,235,"October 11, 1945","North Carolina Central University"
davisma01,Mark Davis,1989,1989,F-G,6-6,195,"June 8, 1963","Old Dominion University"
davisma02,Mark Davis,1996,2000,G-F,6-7,210,"April 26, 1973","Texas Tech University"
davisme01,Mel Davis,1974,1977,F,6-6,220,"November 9, 1950","St. John's University"
davismi02,Mickey Davis,1972,1977,F-G,6-7,195,"June 16, 1950","Duquesne University"
davismi01,Mike Davis,1970,1973,G,6-3,185,"July 26, 1946","Virginia Union University"
davismi03,Mike Davis,1983,1983,F,6-10,230,"August 2, 1956","University of Maryland"
davismo01,Monti Davis,1981,1981,F,6-7,205,"July 26, 1958","Tennessee State University"
davispa01,Paul Davis,2007,2010,C,6-11,270,"July 21, 1984","Michigan State University"
davisra01,Ralph Davis,1961,1962,G,6-4,180,"September 7, 1938","University of Cincinnati"
davisre01,Red Davis,1956,1956,C,6-7,220,"April 22, 1932","St. John's University"
davisri01,Ricky Davis,1999,2010,G,6-6,195,"September 23, 1979","University of Iowa"
davisro01,Ron Davis,1977,1982,G-F,6-6,198,"May 1, 1954","Washington State University"
daviste01,Terry Davis,1990,2001,F-C,6-9,225,"June 17, 1967","Virginia Union University"
daviswa01,Walt Davis,1954,1958,C-F,6-8,205,"January 5, 1931","Texas A&amp;M University"
daviswa03,Walter Davis,1978,1992,G-F,6-6,193,"September 9, 1954","University of North Carolina"
daviswa02,Warren Davis,1968,1973,F-C,6-6,212,"June 30, 1943","North Carolina Agricultural and Technical State University"
daviswi01,Willie Davis,1971,1971,C,6-8,234,"August 9, 1945","North Texas State University"
dawkida01,Darryl Dawkins,1976,1989,C,6-11,251,"January 11, 1957",""
dawkijo01,Johnny Dawkins,1987,1995,G,6-2,165,"September 28, 1963","Duke University"
dawkipa01,Paul Dawkins,1980,1980,F,6-5,190,"June 10, 1957","Northern Illinois University"
dawsoer01,Eric Dawson,2012,2012,F,6-9,250,"June 7, 1984","Midwestern State University"
dawsoji01,Jimmy Dawson,1968,1968,G,6-0,175,"April 18, 1945","University of Illinois at Urbana-Champaign"
dawsoto01,Tony Dawson,1991,1995,F,6-7,215,"August 25, 1967","Florida State University"
dayto01,Todd Day,1993,2001,G-F,6-6,188,"January 7, 1970","University of Arkansas"
dayeau01,Austin Daye,2010,2014,F,6-11,200,"June 5, 1988","Gonzaga University"
dayeda01,Darren Daye,1984,1988,F-G,6-8,220,"November 30, 1960","University of California, Los Angeles"
decolna01,Nando De Colo,2013,2014,G,6-5,200,"June 23, 1987",""
deanegr01,Greg Deane,1980,1980,G,6-4,190,"December 6, 1957","University of Utah"
deangbi01,Billy DeAngelis,1971,1971,G,6-1,180,"October 5, 1946","Saint Joseph's University"
debusda01,Dave DeBusschere,1963,1974,F-G,6-6,220,"October 16, 1940","University of Detroit Mercy"
declean01,Andrew DeClercq,1996,2005,F-C,6-10,230,"February 1, 1973","University of Florida"
dedmode01,Dewayne Dedmon,2014,2014,C,7-0,255,"August 12, 1989",""
deedo01,Donald Dee,1969,1969,F,6-8,210,"August 9, 1943","Saint Mary of the Plains College"
deesar01,Archie Dees,1959,1962,F-C,6-8,205,"February 22, 1936","Indiana University"
deherte01,Terry Dehere,1994,1999,G,6-2,190,"September 12, 1971","Seton Hall University"
dehnere01,Red Dehnert,1947,1947,F,6-3,175,"","Columbia University"
delnevi01,Vinny Del Negro,1989,2002,G,6-4,185,"August 9, 1966","North Carolina State University"
delebi01,Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969","University of Arizona"
delfica01,Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",""
delkto01,Tony Delk,1997,2006,G,6-1,189,"January 28, 1974","University of Kentucky"
dellama01,Matthew Dellavedova,2014,2014,G,6-4,200,"September 8, 1990",""
delonna01,Nate DeLong,1952,1952,C,6-6,220,"January 5, 1926","University of Wisconsin-River Falls"
dembofe01,Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966","University of Wyoming"
demicla01,Larry Demic,1980,1982,F-C,6-9,225,"June 27, 1957","University of Arizona"
dempsde01,Dell Demps,1994,1997,G,6-3,205,"February 12, 1970","University of the Pacific"
dempsge01,George Dempsey,1955,1959,G,6-2,190,"July 19, 1929","King's College"
denglu01,Luol Deng,2005,2014,F,6-8,220,"April 16, 1985","Duke University"
dennake01,Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958","Duke University"
dennibl01,Blaine Denning,1953,1953,G,6-2,175,"September 19, 1930","Lawrence Technological University"
dentmju01,Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985","University of Washington"
dentora01,Randy Denton,1972,1977,C,6-10,240,"February 18, 1949","Duke University"
deprejo01,Joe DePre,1971,1973,G,6-3,185,"December 19, 1947","St. John's University"
derliro01,Rod Derline,1975,1976,G,6-0,175,"March 11, 1952","Seattle University"
derozde01,DeMar DeRozan,2010,2014,G,6-7,220,"August 7, 1989","University of Southern California"
deutsda01,Dave Deutsch,1967,1967,G,6-1,170,"May 13, 1945","University of Rochester"
devlico01,Corky Devlin,1956,1958,G,6-5,195,"December 21, 1931","George Washington University"
dezonha01,Hank DeZonie,1951,1951,C-F,6-6,215,"February 12, 1922","Clark Atlanta University"
dialde01,Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975","Eastern Michigan University"
diawbo01,Boris Diaw,2004,2014,F-C,6-8,215,"April 16, 1982",""
diawaya01,Yakhouba Diawara,2007,2010,F,6-7,225,"August 29, 1982","Pepperdine University"
diazgu01,Guillermo Diaz,2008,2008,G,6-2,192,"March 4, 1985","University of Miami"
dickada01,Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978","Gonzaga University"
dickeka01,Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978","University of Idaho"
dickehe01,Henry Dickerson,1976,1977,G,6-4,190,"November 27, 1951","University of Charleston"
dickemi01,Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975","University of Arizona"
dickecl01,Clyde Dickey,1975,1975,G,6-3,185,"December 14, 1951","Boise State University"
dickede01,Derrek Dickey,1974,1978,F,6-7,218,"March 20, 1951","University of Cincinnati"
dickedi01,Dick Dickey,1952,1952,G,6-1,175,"October 26, 1926","North Carolina State University"
dicksjo01,John Dickson,1968,1968,C,6-10,240,"November 18, 1945","Arkansas State University"
dienetr01,Travis Diener,2006,2010,G,6-1,175,"March 1, 1982","Marquette University"
dienggo01,Gorgui Dieng,2014,2014,C,6-11,245,"January 18, 1990","University of Louisville"
dierkco01,Connie Dierking,1959,1971,C-F,6-9,222,"October 2, 1936","University of Cincinnati"
dietrco01,Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948","San Jose State University"
digreer01,Ernie DiGregorio,1974,1978,G,6-0,180,"January 15, 1951","Providence College"
dillcr01,Craig Dill,1968,1968,C,6-11,215,"December 17, 1944","University of Michigan"
dilladu01,Dwaine Dillard,1976,1976,F,6-6,230,"March 9, 1949","Eastern Michigan University"
dillami01,Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958","Florida State University"
dillebo01,Bob Dille,1947,1947,F,6-3,190,"July 2, 1917","Valparaiso University"
dilloho01,Hook Dillon,1950,1950,F,6-3,180,"January 8, 1924","University of North Carolina"
dinkiby01,Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967","University of North Carolina at Charlotte"
dinkija01,Jackie Dinkins,1972,1972,F,6-5,210,"January 22, 1950","Voorhees College"
dinneha01,Harry Dinnel,1968,1968,F-G,6-4,200,"","Pepperdine University"
dinwibi01,Bill Dinwiddie,1968,1972,F,6-7,220,"July 15, 1943","New Mexico Highlands University"
dioguik01,Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983","Arizona State University"
diopde01,DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",""
dischte01,Terry Dischinger,1963,1973,F-G,6-7,189,"November 21, 1940","Purdue University"
diutefr01,Fred Diute,1955,1955,G,6-3,210,"January 9, 1929","St. Bonaventure University"
divacvl01,Vlade Divac,1990,2005,C,7-1,243,"February 3, 1968",""
dixonju01,Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978","University of Maryland"
djordal01,Aleksandar Djordjevic,1997,1997,G,6-2,198,"August 26, 1967",""
doddea01,Earl Dodd,1950,1950,F,6-5,175,"November 1, 1924","Truman State University"
doleami01,Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977","University of Utah"
dolhojo01,Joe Dolhon,1950,1951,G,6-0,175,"July 9, 1927","New York University"
dollbo01,Bob Doll,1947,1950,F-C,6-5,195,"August 10, 1919","University of Colorado"
donalja01,James Donaldson,1981,1995,C,7-2,275,"August 16, 1957","Washington State University"
donhabo01,Bob Donham,1951,1954,G-F,6-2,190,"October 11, 1926","Ohio State University"
donovbi01,Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965","Providence College"
donovha01,Harry Donovan,1950,1950,G,6-2,180,"September 10, 1926","Muhlenberg College"
doolike01,Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980","University of Missouri"
dorseja01,Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954","University of Georgia"
dorsejo01,Joey Dorsey,2009,2011,F,6-8,268,"December 16, 1983","University of Memphis"
dorsero01,Ron Dorsey,1972,1972,F,6-4,200,"October 10, 1948","Tennessee State University"
doubyqu01,Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984","Rutgers University"
douglbr01,Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964","University of Illinois at Urbana-Champaign"
