Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
wadedw01,Dwyane Wade,2004,2014,G,6-4,212,"January 17, 1982","Marquette University"
wadema01,Mark Wade,1988,1990,G,5-11,160,"October 15, 1965","University of Nevada, Las Vegas"
wafervo01,Von Wafer,2006,2012,G,6-5,210,"July 21, 1985","Florida State University"
wagercl01,Clint Wager,1950,1950,C-F,6-6,210,"January 20, 1920","Saint Mary's University of Minnesota"
wagneda02,Dajuan Wagner,2003,2007,G,6-2,200,"February 4, 1983","University of Memphis"
wagneda01,Danny Wagner,1950,1950,G,6-0,170,"August 1, 1922","University of Texas at Austin"
wagnemi01,Milt Wagner,1988,1991,G,6-5,185,"February 20, 1963","University of Louisville"
wagneph01,Phillip Wagner,1969,1969,G,6-2,190,"December 18, 1945","Georgia Institute of Technology"
waitedi01,Dion Waiters,2013,2014,G,6-4,210,"December 10, 1991","Syracuse University"
waitegr01,Granville Waiters,1984,1988,C,6-11,225,"January 8, 1961","Ohio State University"
wakefan01,Andre Wakefield,1979,1980,G,6-3,175,"January 11, 1955","Loyola University of Chicago"
walkne01,Neal Walk,1970,1977,C,6-10,220,"July 29, 1948","University of Florida"
walkean01,Andy Walker,1977,1977,G,6-4,190,"March 25, 1955","Niagara University"
walkean02,Antoine Walker,1997,2008,F,6-8,224,"August 12, 1976","University of Kentucky"
walkebi01,Bill Walker,2009,2012,F,6-6,220,"October 9, 1987","Kansas State University"
walkebr01,Brady Walker,1949,1952,F-C,6-6,205,"March 15, 1921","Brigham Young University"
walkech01,Chet Walker,1963,1975,F-G,6-6,212,"February 22, 1940","Bradley University"
walkeda01,Darrell Walker,1984,1993,G,6-4,180,"March 9, 1961","University of Arkansas"
walkefo01,Foots Walker,1975,1984,G,6-0,172,"May 21, 1951","State University of West Georgia"
walkeho01,Horace Walker,1962,1962,F,6-3,210,"April 17, 1937","Michigan State University"
walkeji01,Jimmy Walker,1968,1976,G,6-3,195,"April 8, 1944","Providence College"
