Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
iavarma01,Marc Iavaroni,1983,1989,F,6-8,210,"September 15, 1956","University of Virginia"
ibakase01,Serge Ibaka,2010,2014,F,6-10,220,"September 18, 1989",""
iguodan01,Andre Iguodala,2005,2014,G-F,6-6,207,"January 28, 1984","University of Arizona"
ilgauzy01,Zydrunas Ilgauskas,1998,2011,C,7-3,238,"June 5, 1975",""
ilicmi01,Mile Ilic,2007,2007,C,7-1,230,"June 2, 1984",""
mbengdj01,Didier Ilunga-Mbenga,2005,2011,C,7-0,245,"December 30, 1980",""
ilyaser01,Ersan Ilyasova,2007,2014,F,6-9,235,"May 15, 1987",""
imhofda01,Darrall Imhoff,1961,1972,C,6-10,220,"October 11, 1938","University of California"
ingelto01,Tom Ingelsby,1974,1976,G,6-3,180,"February 12, 1951","Villanova University"
ingramc01,McCoy Ingram,1958,1958,F,6-8,210,"August 31, 1931","Jackson State University"
inniger01,Ervin Inniger,1968,1969,G,6-4,190,"January 16, 1945","Indiana University"
irvinby01,Byron Irvin,1990,1993,G,6-5,190,"December 2, 1966","University of Missouri"
irvinge01,George Irvine,1971,1976,F-G,6-6,200,"February 1, 1948","University of Washington"
irvinky01,Kyrie Irving,2012,2014,G,6-2,180,"March 23, 1992","Duke University"
isselda01,Dan Issel,1971,1985,C-F,6-9,235,"October 25, 1948","University of Kentucky"
iuzzomi01,Mike Iuzzolino,1992,1993,G,5-10,175,"January 22, 1968","Saint Francis University"
iversal01,Allen Iverson,1997,2010,G,6-0,165,"June 7, 1975","Georgetown University"
iverswi01,Willie Iverson,1969,1969,G,6-0,180,"October 8, 1945","Central Michigan University"
iveyro01,Royal Ivey,2005,2013,G,6-3,200,"December 20, 1981","University of Texas at Austin"
ivoryel01,Elvin Ivory,1969,1969,F,6-8,210,"July 2, 1948","University of Louisiana at Lafayette"
