Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
ndiayha01,Hamady N'Diaye,2011,2014,C,7-0,235,"January 12, 1987","Rutgers University"
ndiayma01,Makhtar N'Diaye,1999,1999,F,6-8,245,"December 12, 1973","University of North Carolina"
ndiayma02,Mamadou N'Diaye,2001,2005,C,7-0,255,"June 16, 1975","Auburn University"
ndongbo01,Boniface N'Dong,2006,2006,C,7-0,198,"March 9, 1977",""
naberbo01,Bob Naber,1953,1953,F,6-3,185,"September 3, 1929","University of Louisville"
nachabo01,Boris Nachamkin,1955,1955,F,6-6,210,"December 6, 1933","New York University"
nachbbo01,Bostjan Nachbar,2003,2008,F,6-9,221,"July 3, 1980",""
nagelje01,Jerry Nagel,1950,1950,G,6-0,190,"May 18, 1928","Loyola University of Chicago"
nagyfr01,Fritz Nagy,1949,1949,G-F,6-2,185,"January 3, 1924","University of Akron"
nailole01,Lee Nailon,2001,2006,F,6-9,238,"February 22, 1975","Texas Christian University"
najered01,Eduardo Najera,2001,2012,F,6-8,240,"July 11, 1976","University of Oklahoma"
nancela01,Larry Nance,1982,1994,F-C,6-10,205,"February 12, 1959","Clemson University"
napolpa01,Paul Napolitano,1949,1949,F-G,6-2,185,"February 3, 1923","University of San Francisco"
nashbo01,Bob Nash,1973,1979,F,6-8,195,"August 24, 1950","University of Hawaii"
nashco01,Cotton Nash,1965,1968,F,6-5,215,"July 24, 1942","University of Kentucky"
nashst01,Steve Nash,1997,2014,G,6-3,195,"February 7, 1974","Santa Clara University"
natersw01,Swen Nater,1974,1984,C,6-11,240,"January 14, 1950","University of California, Los Angeles"
nathaho01,Howard Nathan,1996,1996,G,5-11,175,"January 21, 1972","University of Louisiana at Monroe"
nattca01,Calvin Natt,1980,1990,F,6-6,220,"January 8, 1957","University of Louisiana at Monroe"
nattke01,Kenny Natt,1981,1985,G,6-3,185,"October 5, 1958","University of Louisiana at Monroe"
naullwi01,Willie Naulls,1957,1966,F-C,6-6,225,"October 7, 1934","University of California, Los Angeles"
navarju01,Juan Carlos Navarro,2008,2008,G,6-3,170,"June 13, 1980",""
nealcr01,Craig Neal,1989,1991,G,6-5,165,"February 16, 1964","Georgia Institute of Technology"
nealga01,Gary Neal,2011,2014,G,6-4,210,"October 3, 1984","Towson University"
nealji01,Jim Neal,1954,1955,C,6-11,235,"May 21, 1930","Wofford College"
nealll01,Lloyd Neal,1973,1979,C-F,6-7,225,"December 10, 1950","Tennessee State University"
nealyed01,Ed Nealy,1983,1993,F,6-7,238,"February 19, 1960","Kansas State University"
