Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
kachawh01,Whitey Kachan,1949,1949,G,6-2,175,"September 15, 1925","DePaul University"
kaftage01,George Kaftan,1949,1953,F,6-3,190,"February 22, 1928","College of the Holy Cross"
kalafed01,Ed Kalafat,1955,1957,C-F,6-6,245,"October 13, 1932","University of Minnesota"
kamanch01,Chris Kaman,2004,2014,C,7-0,268,"April 28, 1982","Central Michigan University"
kanteen01,Enes Kanter,2012,2014,F,6-11,262,"May 20, 1992",""
kaplora01,Ralph Kaplowitz,1947,1948,G-F,6-2,170,"May 18, 1919","New York University"
kaponja01,Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981","University of California, Los Angeles"
kappeto01,Tony Kappen,1947,1947,G,5-10,165,"April 13, 1919",""
karasse01,Sergey Karasev,2014,2014,G-F,6-7,203,"October 26, 1993",""
karlco01,Coby Karl,2008,2010,G,6-5,215,"March 6, 1983","Boise State University"
karlge01,George Karl,1974,1978,G,6-2,185,"May 12, 1951","University of North Carolina"
kasided01,Ed Kasid,1947,1947,G,5-11,185,"August 13, 1923",""
kasunma01,Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",""
katkale01,Leo Katkaveck,1949,1950,G,6-0,185,"April 17, 1923","North Carolina State University"
kauffbo01,Bob Kauffman,1969,1975,F-C,6-8,240,"July 13, 1946","Guilford College"
kautzwi01,Wilbert Kautz,1947,1947,G-F,6-0,180,"September 7, 1915","Loyola University of Chicago"
keacl01,Clarence Kea,1981,1982,F,6-6,218,"February 2, 1959","Lamar University"
kearnmi01,Mike Kearns,1955,1955,G,6-2,178,"June 18, 1929","Princeton University"
kearnto01,Tommy Kearns,1959,1959,G,5-11,185,"October 6, 1936","University of North Carolina"
keefead01,Adam Keefe,1993,2001,F,6-9,230,"February 22, 1970","Stanford University"
keeliha01,Harold Keeling,1986,1986,G,6-4,185,"September 18, 1963","Santa Clara University"
kellebi01,Bill Keller,1970,1976,G,5-10,177,"August 30, 1947","Purdue University"
kellega01,Gary Keller,1968,1969,F-C,6-9,220,"June 13, 1944","University of Florida"
kelleke01,Ken Keller,1947,1947,G,6-1,180,"","St. John's University"
kelleri01,Rich Kelley,1976,1986,C-F,7-0,235,"March 23, 1953","Stanford University"
kellocl01,Clark Kellogg,1983,1987,F,6-7,225,"July 2, 1961","Ohio State University"
kellyar01,Arvesta Kelly,1968,1972,G,6-2,175,"November 20, 1945","Lincoln University of Missouri"
kellyje01,Jerry Kelly,1947,1948,F,6-2,172,"June 14, 1918","Marshall University"
kellyry01,Ryan Kelly,2014,2014,F,6-11,230,"April 9, 1991",""
kellyto01,Tom Kelly,1949,1949,G,6-0,170,"March 5, 1924","New York University"
kelsegr01,Greg Kelser,1980,1985,F,6-7,190,"September 17, 1957","Michigan State University"
kelsobe01,Ben Kelso,1974,1974,G,6-3,195,"April 11, 1949","Central Michigan University"
kempsh01,Shawn Kemp,1990,2003,F-C,6-10,230,"November 26, 1969","Trinity Valley Community College"
kemptti01,Tim Kempton,1987,1998,F-C,6-10,245,"January 25, 1964","University of Notre Dame"
kendrfr01,Frank Kendrick,1975,1975,F,6-6,198,"September 11, 1950","Purdue University"
kennedj01,D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989","St. John's University"
kennego01,Goo Kennedy,1972,1977,F-C,6-5,205,"August 23, 1949","Texas Christian University"
kennejo01,Joe Kennedy,1969,1971,F,6-6,210,"January 12, 1947","Duke University"
kennepi01,Pickles Kennedy,1961,1961,G,5-11,180,"May 17, 1938","Temple University"
kenonla01,Larry Kenon,1974,1983,F,6-9,205,"December 13, 1952","University of Memphis"
kenvibi01,Billy Kenville,1954,1960,G-F,6-2,187,"December 1, 1930","St. Bonaventure University"
kernejo01,Jonathan Kerner,1999,1999,C,6-11,245,"June 6, 1974","East Carolina University"
