Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
macalmi01,Mike Macaluso,1974,1974,F,6-5,210,"July 20, 1951","Canisius College"
macaued01,Ed Macauley,1950,1959,C-F,6-8,185,"March 22, 1928","Saint Louis University"
maccuto01,Todd MacCulloch,2000,2003,C,7-0,280,"January 27, 1976","University of Washington"
macgiro01,Ronnie MacGilvray,1955,1955,G,6-2,185,"July 20, 1930","St. John's University"
machasc01,Scott Machado,2013,2013,G,6-1,205,"June 8, 1990","Iona College"
macijar01,Arvydas Macijauskas,2006,2006,G,6-4,214,"January 19, 1980",""
mackol01,Ollie Mack,1980,1982,G,6-3,185,"June 6, 1957","East Carolina University"
macksa01,Sam Mack,1993,2002,F-G,6-7,220,"May 26, 1970","University of Houston"
macksh01,Shelvin Mack,2012,2014,G,6-3,215,"April 22, 1989","Butler University"
mackema01,Malcolm Mackey,1994,1994,F-C,6-9,248,"July 11, 1970","Georgia Institute of Technology"
macklru01,Rudy Macklin,1982,1984,F-G,6-7,205,"February 19, 1958","Louisiana State University"
macklve01,Vernon Macklin,2012,2012,F,6-10,227,"September 20, 1986","University of Florida"
macknjo01,Johnny Macknowski,1950,1951,G-F,6-0,180,"January 7, 1923","Seton Hall University"
macledo01,Don MacLean,1993,2001,F,6-10,235,"January 16, 1970","University of California, Los Angeles"
maconma01,Mark Macon,1992,1999,G,6-4,185,"April 14, 1969","Temple University"
macyky01,Kyle Macy,1981,1987,G,6-3,175,"April 9, 1957","University of Kentucky"
maddoja01,Jack Maddox,1949,1949,F-G,6-3,185,"December 10, 1919","West Texas A&amp;M University"
maddoti01,Tito Maddox,2003,2003,G,6-4,190,"June 7, 1981","California State University, Fresno"
madkige01,Gerald Madkins,1994,1998,G,6-4,200,"April 18, 1969","University of California, Los Angeles"
madsema01,Mark Madsen,2001,2009,F,6-9,240,"January 28, 1976","Stanford University"
magerno01,Norm Mager,1951,1951,F,6-5,185,"March 23, 1926","City College of New York"
maggeco01,Corey Maggette,2000,2013,F,6-6,218,"November 12, 1979","Duke University"
magleda01,Dave Magley,1983,1983,F,6-8,202,"November 24, 1959","University of Kansas"
magloja01,Jamaal Magloire,2001,2012,C,6-11,259,"May 21, 1978","University of Kentucky"
mahafra01,Randolph Mahaffey,1968,1971,F,6-7,210,"September 28, 1945","Clemson University"
mahinia01,Ian Mahinmi,2008,2014,C,6-11,230,"November 5, 1986",""
mahnkjo01,John Mahnken,1947,1953,C,6-8,220,"June 16, 1922","Georgetown University"
mahonbr01,Brian Mahoney,1973,1973,G,6-3,175,"December 17, 1948","Manhattan College"
mahonmo01,Mo Mahoney,1953,1954,F,6-2,205,"November 20, 1927","Brown University"
mahorri01,Rick Mahorn,1981,1999,C-F,6-10,240,"September 21, 1958","Hampton University"
majerda01,Dan Majerle,1989,2002,G-F,6-6,215,"September 9, 1965","Central Michigan University"
majorre01,Renaldo Major,2007,2007,F,6-7,200,"May 7, 1982","California State University, Fresno"
malamli01,Lionel Malamed,1949,1949,G,5-9,150,"November 15, 1924","City College of New York"
malonje01,Jeff Malone,1984,1996,G,6-4,205,"June 28, 1961","Mississippi State University"
malonka01,Karl Malone,1986,2004,F,6-9,250,"July 24, 1963","Louisiana Tech University"
malonmo01,Moses Malone,1975,1995,C-F,6-10,215,"March 23, 1955",""
malonma01,Matt Maloney,1997,2003,G,6-3,192,"December 6, 1971","University of Pennsylvania"
malovst01,Steve Malovic,1980,1980,F,6-10,230,"July 21, 1956","San Diego State University"
maloymi01,Mike Maloy,1971,1973,F,6-7,215,"May 10, 1949","Davidson College"
manakte01,Ted Manakas,1974,1974,G,6-2,180,"February 22, 1951","Princeton University"
