Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
yarbrvi01,Vincent Yarbrough,2003,2003,G-F,6-7,210,"March 21, 1981","University of Tennessee"
yardlge01,George Yardley,1954,1960,F-G,6-5,190,"November 3, 1928","Stanford University"
yatesba01,Barry Yates,1972,1972,F,6-7,215,"January 30, 1946","University of Maryland"
yateswa01,Wayne Yates,1962,1962,C,6-8,235,"November 7, 1937","University of Memphis"
yelvech01,Charlie Yelverton,1972,1972,G-F,6-2,190,"December 5, 1948","Fordham University"
yonakri01,Rich Yonakor,1982,1982,F,6-9,220,"October 3, 1958","University of North Carolina"
youngda01,Danny Young,1985,1995,G,6-3,175,"July 26, 1962","Wake Forest University"
youngko01,Korleone Young,1999,1999,F,6-7,213,"December 31, 1978",""
youngmi01,Michael Young,1985,1990,F-G,6-7,220,"January 2, 1961","University of Houston"
youngni01,Nick Young,2008,2014,G,6-6,200,"June 1, 1985","University of Southern California"
youngpe01,Perry Young,1987,1987,G,6-5,210,"August 4, 1963","Virginia Polytechnic Institute and State University"
youngsa01,Sam Young,2010,2013,F,6-6,220,"June 1, 1985","University of Pittsburgh"
youngth01,Thaddeus Young,2008,2014,F,6-8,220,"June 21, 1988","Georgia Institute of Technology"
youngti01,Tim Young,2000,2000,C,7-0,220,"February 6, 1976","Stanford University"
yuesu01,Sun Yue,2009,2009,G,6-9,205,"November 6, 1985",""
